park_name,lon,lat
Franklin Delano Roosevelt MEM,-77.0424441,38.8829478
Frederick Douglass NHS,-76.9851973,38.8632895
Frederick Law Olmsted NHS,-71.1320319,42.3254659
Fredericksburg & Spotsylvania NMP,-98.8719843,30.2752011
Friendship Hill NHS,-79.9314768,39.7776149
Gates of the Arctic NP & PRES,-153.4637908,67.91462969999999
Gateway Arch NP,-90.1854426,38.6246855
Gateway NRA,-73.9887047,40.439669
Gauley River NRA,-81.01473,38.2089655
General Grant NMEM,-73.9630671,40.8134045
George Rogers Clark NHP,-87.5367095,38.6779982
George Washington Birthplace NM,-76.9201563,38.1838617
George Washington Carver NM,-94.3556725,36.9873287
George Washington MEM PKWY,-77.0490823,38.8435735
Gettysburg NMP,-77.233732,39.8132494
Gila Cliff Dwellings NM,-108.2722727,33.2272903
Glacier Bay NP & PRES,-136.9002147,58.66580729999999
Glacier NP,-113.7870225,48.7596128
Glen Canyon NRA,-110.8424257,37.3867256
Golden Gate NRA,-122.5295263,37.8480359
Golden Spike NHP,-112.5509325,41.6174219
Governors Island NM,-74.01599499999999,40.6919879
Grand Canyon NP,-112.1129972,36.1069652
Grand Portage NM,-89.6847693,47.96232819999999
Grand Teton NP,-110.6817627,43.7904282
Grant-Kohrs Ranch NHS,-112.736682,46.406069
Great Basin NP,-114.3,38.98333299999999
Great Sand Dunes NP & PRES,-105.5943276,37.7915959
Great Smoky Mountains NP,-83.4895449,35.6117644
Greenbelt Park,-76.9011427,38.983031
Guadalupe Mountains NP,-104.8605034,31.891227
Guilford Courthouse NMP,-79.8465338,36.1314163
Gulf Islands NS,-88.791067,30.3918514
Hagerman Fossil Beds NM,-114.8983185,42.8179106
Haleakala NP,-156.2535147,20.7096921
Hamilton Grange NMEM,-73.9473103,40.8213537
Hampton NHS,-76.58763189999999,39.4163289
Harpers Ferry NHP,-77.72920719999999,39.3228225
Harry S Truman NHS,-94.4233898,39.093754
Hawaii Volcanoes NP,-155.2884969,19.4193697
Herbert Hoover NHS,-91.3457416,41.6710001
Home of Franklin D. Roosevelt NHS,-73.9326457,41.7698549
Homestead NM of America,-96.8357934,40.29138409999999
Hopewell Culture NHP,-83.0065097,39.3761064
Hopewell Furnace NHS,-75.7691263,40.2097267
Horseshoe Bend NMP,-85.7310076,32.97832229999999
Hot Springs NP,-93.0423545,34.5216915
Hovenweep NM,-109.0726022,37.3837623
Hubbell Trading Post NHS,-109.5586896,35.7095466
Independence NHP,-75.14973189999999,39.9495312
Indiana Dunes NP,-87.05243349999999,41.6532682
Isle Royale NP,-88.9092899,47.9958654
James A. Garfield NHS,-81.350977,41.6639783
Jean Lafitte NHP & PRES,-90.141294,29.8116363
Jewel Cave NM,-103.8290512,43.7303594
Jimmy Carter NHS,-84.3925979,32.0365107
"John D. Rockefeller, Jr. MEM PKWY",-110.6812426,44.08257529999999
John Day Fossil Beds NM,-119.6319641,44.5445527
John F. Kennedy Center For Pa,-75.1634469,39.9549768
John F. Kennedy NHS,-71.123267,42.346965
John Muir NHS,-122.1309704,37.99216759999999
Johnstown Flood NMEM,-78.7711604,40.3497647
Joshua Tree NP,-115.9009923,33.873415
Kalaupapa NHP,-156.9665093,21.1924062
Kaloko Honokohau NHP,-156.0216995,19.6787061
Katmai NP & PRES,-155.0631051,58.6125631
Kenai Fjords NP,-150.6155555,59.69222219999999
Kennesaw Mountain NBP,-84.5779283,33.9830727
Keweenaw NHP,-88.448106,47.2423094
Kings Canyon NP,-118.5551477,36.8878548
Kings Mountain NMP,-81.3765679,35.1411845
Klondike Gold Rush NHP Alaska,-135.3185254,59.45351520000001
Klondike Gold Rush NHP Seattle,-122.3320228,47.5993865
Knife River Indian Villages NHS,-101.3856559,47.33141879999999
Kobuk Valley NP,-159.1243161,67.3356197
Korean War Veterans Memorial,-77.0477897,38.8878219
Lake Chelan NRA,-120.6855771,48.352344
Lake Clark NP & PRES,-154.3234955,60.4126957
Lake Mead NRA,-114.4559303,36.1550863
Lake Meredith NRA,-101.5863058,35.6438165
Lake Roosevelt NRA,-118.246639,48.1011309
Lassen Volcanic NP,-121.4206552,40.49766
Lava Beds NM,-121.5266641,41.758837
LBJ Memorial Grove on the Potomac,-77.0500641,38.8774239
Lewis & Clark NHP,-95.7162345,37.2255965
Lincoln Boyhood NMEM,-86.9958827,38.1130719
Lincoln Home NHS,-89.64492539999999,39.7973533
Lincoln Memorial,-77.050176,38.8892686
Little Bighorn Battlefield NM,-107.4324314,45.5700984
Little River Canyon NPRES,-85.62537999999999,34.3883958
Little Rock Central High School NHS,-92.29741659999999,34.7381955
Longfellow House Washington's HQ NHS,-71.1263814,42.3769262
Lowell NHP,-71.30956239999999,42.6472093
Lyndon B. Johnson NHP,-98.6292057,30.2373905
Maggie L. Walker NHS,-77.43773379999999,37.5477645
Mammoth Cave NP,-86.100528,37.1869978
Manassas NBP,-77.52216779999999,38.8134115
Manhattan Project NHP,-106.3020241,35.8808332
Manzanar NHS,-118.1527894,36.7272288
Marsh-Billings-Rockefeller NHP,-72.54009239999999,43.6328491
"Martin Luther King, Jr. Memorial",-77.04420379999999,38.8861994
"Martin Luther King, Jr. NHP",-84.37343779999999,33.7561821
Martin Van Buren NHS,-73.7041742,42.36978250000001
Mary McLeod Bethune Council House NHS,-77.030795,38.9081761
Mesa Verde NP,-108.4618335,37.2308729
Minidoka NHS,-114.2512011,42.6779139
Minute Man NHP,-71.32152049999999,42.4579978
Minuteman Missile NHS,-101.9011854,43.844547
Mississippi NRRA,-93.09881899999999,44.94253399999999
Missouri NRR,NA,NA
Mojave NPRES,-115.4483414,35.155183
Monocacy NB,-77.39898199999999,39.3725838
Montezuma Castle NM,-111.8349854,34.6115755
Moores Creek NB,-78.109585,34.4577897
Morristown NHP,-74.5316807,40.7648452
Mount Rainier NP,-121.7269094,46.8799663
Mount Rushmore NMEM,-103.4590667,43.87910249999999
Muir Woods NM,-122.5811177,37.8970199
Natchez NHP,-91.405937,31.559982
Natchez Trace PKWY,-89.0187511,33.7668642
National Capital Parks Central,-119.1642025,46.2673807
National Capital Parks Combined,-76.9938371,38.8659202
National Capital Parks East,-76.9938371,38.8659202
National Park of American Samoa,-170.6833333,-14.2583333
National Visitor Center,-96.5582163,38.4322168
Natural Bridges NM,-110.0052043,37.604056
Navajo NM,-109.0339832,35.9000121
New Bedford Whaling NHP,-70.9239528,41.6356968
New Orleans Jazz NHP,-90.06078959999999,29.9584558
New River Gorge NR,-81.0188974,37.8776175
Nez Perce NHP,-117.2300288,45.381521
Nicodemus NHS,-99.6147017,39.39323419999999
Ninety Six NHS,-82.0235684,34.1467219
Niobrara NSR,-99.75518029999999,42.7385233
Noatak NPRES,-162.1650465,67.64485359999999
North Cascades NP,-121.2984648,48.7718174
Obed W&SR,-84.8823195,36.074769
Ocmulgee Mounds NHP,-83.6038269,32.84254
Oklahoma City NMEM,-97.5170594,35.4731457
Olympic NP,-123.6043524,47.8021067
Oregon Caves NM & PRES,-123.4042884,42.095462
Organ Pipe Cactus NM,-112.9058802,32.0877596
Ozark NSR,-90.8984897,36.9209284
Padre Island NS,-97.29918359999999,27.4241558
Palo Alto Battlefield NHP,-97.47902619999999,26.0167821
Paterson Great Falls NHP,-74.18118919999999,40.9172641
Pea Ridge NMP,-94.025807,36.4437655
Pearl Harbor NMEM,NA,NA
Pecos NHP,-105.6884444,35.5492324
Pennsylvania Avenue NHS,-77.0236766,38.8935872
Perry's Victory & Intl. Peace MEM,-82.811331,41.654111
Petersburg NB,-77.3568983,37.2438545
Petrified Forest NP,-109.8067916,34.9099897
Petroglyph NM,-106.7405057,35.1367817
Pictured Rocks NL,-86.3213064,46.5614384
Pinnacles NP,-121.1824925,36.4905655
Pipe Spring NM,-112.7397318,36.8628913
Pipestone NM,-96.32474719999999,44.01364909999999
Piscataway Park,-77.070737,38.690893
Point Reyes NS,-122.881743,38.0722909
Port Chicago Naval Magazine NMEM,-122.0297304,38.0575024
President W.J. Clinton Birthplace Home NHS,-93.5965425,33.6672488
President's Park,-77.0371152,38.8957766
Prince William Forest Park,-77.3838748,38.5882192
Pu'uhonua o Honaunau NHP,-155.9105253,19.4215385
Pu'ukohola Heiau NHS,-155.8217812,20.0256181
Rainbow Bridge NM,-110.964382,37.0774203
Redwood NP,-124.0046275,41.2131788
Richmond NBP,-77.445781,37.535554
Rio Grande W&SR,-101.259159,29.521204
River Raisin NBP,-83.37672649999999,41.9112005
Rock Creek Park,-77.0479223,38.9375639
Rocky Mountain NP,-105.6836389,40.3427932
Roger Williams NMEM,-71.4107403,41.8313318
Rosie The Riveter WWII Home Front NHP,-122.357202,37.909697799999996
Ross Lake NRA,-121.0198366,48.6998733
Russell Cave NM,-85.81425709999999,34.9764537
Sagamore Hill NHS,-73.5010296,40.88552929999999
Saguaro NP,-111.166615,32.2967359
Saint Croix Island IHS,-67.13343189999999,45.1278746
Saint Croix NSR,-92.64678579999999,45.4162087
Saint Paul's Church NHS,-73.82576999999999,40.893383
Saint-Gaudens NHP,-72.3687458,43.5010949
Salem Maritime NHS,-70.8866429,42.5213163
Salinas Pueblo Missions NM,-106.0932504,34.2595807
Salt River Bay NHP & Ecological Pres,-64.76152809999999,17.7799264
San Antonio Missions NHP,-98.478431,29.361157
San Francisco Maritime NHP,-122.42415,37.80774299999999
San Juan Island NHP,-122.9773066,48.4550358
San Juan NHS,-66.1207495,18.4686841
Sand Creek Massacre NHS,-102.5038001,38.5447972
Santa Monica Mountains NRA,-118.797462,34.07535
Saratoga NHP,-73.6488883,43.0123082
Saugus Iron Works NHS,-71.00812719999999,42.4679503
Scotts Bluff NM,-103.7115457,41.8391527
Sequoia NP,-118.5657516,36.4863668
Shenandoah NP,-78.6795836,38.29275579999999
Shiloh NMP,-88.3408499,35.142937
Sitka NHP,-135.3159583,57.0489056
Sleeping Bear Dunes NL,-86.0466574,44.8734043
Springfield Armory NHS,-72.58157380000002,42.1072695
Statue of Liberty NM,-74.04450039999999,40.6892494
Steamtown NHS,-75.6720114,41.40790579999999
Stones River NB,-86.43468999999999,35.8731131
Stonewall NM,-74.00252789999999,40.7335757
Sunset Crater Volcano NM,-111.5040458,35.3641752
Tallgrass Prairie NPRES,-96.5730004,38.4426255
Thaddeus Kosciuszko NMEM,-75.1472783,39.9434638
Theodore Roosevelt Birthplace NHS,-73.9890521,40.7386331
Theodore Roosevelt Inaugural NHS,-78.87261389999999,42.9015559
Theodore Roosevelt Island,-77.063008,38.8966824
Theodore Roosevelt NP,-103.5387091,46.978965
Thomas Edison NHP,-74.2340291,40.7839978
Thomas Jefferson MEM,-77.0364536,38.88138060000001
Thomas Stone NHS,-77.0360161,38.530233
Timpanogos Cave NM,-111.7094462,40.4405549
Timucuan EHP,-81.4498717,30.4544578
Tonto NM,-111.1126846,33.6452781
Tumacacori NHP,-111.0510277,31.56781969999999
Tupelo NBS,-88.7372209,34.2556549
Tuskegee Airmen NHS,-85.680363,32.4572441
Tuskegee Institute NHS,-85.7052446,32.4281349
Tuzigoot NM,-112.0268895,34.7687779
Ulysses S. Grant NHS,-90.3519379,38.5512142
Upper Delaware S&RR,-75.0501317,41.6264712
Valley Forge NHP,-75.446922,40.1017506
Vanderbilt Mansion NHS,-73.9423869,41.7963461
Vicksburg NMP,-90.8452588,32.3548532
Vietnam Veterans MEM,-77.04771319999999,38.8912933
Virgin Islands NP,-64.74857589999999,18.3424047
Voyageurs NP,-92.8270873,48.4840955
Waco Mammoth NM,-97.1758392,31.6067336
Walnut Canyon NM,-111.5092754,35.1717266
War in the Pacific NHP,NA,NA
Washington Monument,-77.0352791,38.8894838
Washita Battlefield NHS,-99.7051547,35.6199266
Weir Farm NHS,-73.45640230000001,41.2565181
Whiskeytown NRA,-122.5280369,40.6106256
White House,-77.0365298,38.8976763
White Sands NM,-106.4906526,32.3823687
Whitman Mission NHS,-118.4639177,46.04132509999999
William Howard Taft NHS,-84.50821529999999,39.1198118
Wilson's Creek NB,-93.4190375,37.1157835
Wind Cave NP,-103.4213433,43.6045811
Wolf Trap NP for the Performing Arts,-77.2653551,38.9378645
Women's Rights NHP,-76.800178,42.910773
World War II Memorial,-77.0404978,38.8894206
Wrangell-St. Elias NP & PRES,-142.9856804,61.7104448
Wright Brothers NMEM,-75.6692094,36.0173187
Wupatki NM,-111.375095,35.5584745
Yellowstone NP,-110.588455,44.427963
Yosemite NP,-119.5383294,37.8651011
Yukon-Charley Rivers NPRES,-143.5021927,65.00004539999999
Zion NP,-113.0263005,37.2982022
